Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SEGURIDAD PRIVADA PROFESIONA DUNA,"Guerrero 16, Tizapán San Ángel, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX",55 2615 3796,19.3434307,-99.1991045,seguridadduna.com.mx,NULL,27 reseñas,"3,6",Oficinas de empresa
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pinturas Peritlalpan S.A. de C.V.,"Eje Vial 5 Sur (san Antonio) 100, Nápoles, Benito Juárez, 03810 Benito Juárez, CDMX",55 5543 8021,19.3859421,-99.1769278,NULL,NULL,1 reseña,"4,0",Tienda de pinturas
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Audiomovil de oriente sa de cv,"Eje 5 Oriente (Av. Javier Rojo Gómez) 597, Dr Alfonso Ortiz Tirado, Iztapalapa, 09020 Ciudad de México, CDMX",55 5763 9912,19.3844143,-99.0758934,NULL,NULL,,,Servicio de reparación de lámparas
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
TRANSLOGISTICA RAPICUATES,"Av. Estado de México 27, Solidaridad 1ra Secc, 54948 Buenavista, Méx.",55 5824 1353,19.6154577,-99.1540161,transportesrapicuates.com,NULL,2 reseñas,"5,0",Empresa de transporte por camión
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Imp Fuentes Hnos,"Av. Riva Palacio 137-2, Mexico 2da Secc, 57610 Nezahualcóyotl, Méx.",55 2619 2421,19.4062008,-99.0456544,NULL,NULL,,,Imprenta
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Layse Laminados Y Servicios Sa De Cv,"Calle 2 Ote. 42, Los Álamos Toltepec, 72350 Puebla, Pue.",NULL,19.0307966,-98.1495327,NULL,NULL,2 reseñas,"5,0",Comercio
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Psi Pinturas,"Alta Tensión 16, Vicente Estrada Cajigal, 62460 Cuernavaca, Mor.",777 322 3940,18.9169989,-99.1992345,NULL,NULL,1 reseña,"1,0",Tienda de pinturas
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Italcer,"Calz Zavaleta 5622, Reserva Territorial Atlixcáyotl, Concepción la Cruz, 72197 Puebla, Pue.",222 284 6397,19.0389365,-98.2473172,NULL,NULL,1 reseña,"5,0",Oficinas de empresa
Comercializadora,"Libertad, 72130 Puebla, Pue.",222 233 7674,19.0707136,-98.2363375,NULL,NULL,1 reseña,"5,0",Comercio
"promotora y transformadora de energia, sa de cv","parque industrial alfareros, pesqueria, Escuelas 400, Garza Cantú, 66480 San Nicolás de los Garza, N.L.",NULL,NULL,NULL,NULL,NULL,9 reseñas,"4,8",Parque
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Proyectos y Construcciones Copasa,"San Jemo, Av. Anillo Periferico 628, San Jerónimo 4o. Sector, 64630 Monterrey, N.L.",81 8315 1701,NULL,NULL,NULL,NULL,,,Contratista general
Empresa Mundial Mexicana S.A. de C.V,"Fama 354, El Milagro, 66634 Cd Apodaca, N.L.",81 1086 2098,NULL,NULL,emumsa.com,NULL,2 reseñas,"4,0",Proveedor de tuberías
Dispositivos y Maquinados Industriales,"Melchor Ocampo 540, Cabecera Municipal (Apodaca), Apodaca Centro, 66600 Cd Apodaca, N.L.",81 8386 4650,NULL,NULL,NULL,NULL,1 reseña,"3,0",Fabricante de herramientas
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Smart Information Net,"Prados Tepeyac, C. del Posito 100, Cd del Sol, 45050 Zapopan, Jal.",33 3122 0753,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Progenetic,"C. Cuautitlán 679-A, Chapalita, 44500 Guadalajara, Jal.",33 3122 4155,NULL,NULL,progenetic.com.mx,NULL,1 reseña,"5,0",NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Agrícola Barragán, S.A. De C.V.","CarreteraFederal km, Cuernavaca - Tepoztlan 17, Col del Tesoro, 62520 Tepoztlán, Mor.",739 395 3641,18.9819894,-99.1100067,agricolabarragan.com,NULL,17 reseñas,"4,9",Proveedor de semillas
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LION'S,"Av. Guadalupe Posadas 47, Santa Catarina Yecahuizotl, 56619 Valle de Chalco Solidaridad, Méx.",55 1643 0746,19.311227,-98.9578773,NULL,NULL,978 reseñas,"4,3",NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Papeleria ""Torrefuerte""","Calle Ignacio Allende 3, San Juan Ixhuatepec, 54180 Tlalnepantla de Baz, Méx.",NULL,19.516629,-99.1054801,NULL,NULL,,,Tienda de regalos
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dan Rom S.A de C.V.,"Delegación, Juan A. Mateos 4, Obrera, Cuauhtémoc, 06800 Ciudad de México, CDMX",55 5761 7708,19.4109767,-99.1437847,serviciodanrom.com.mx,NULL,6 reseñas,"3,3",Gasolinera
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,19.4244575,-99.1695049,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DSA - Desarrollos Solares Arandas,"Del Gallito 920, Centro, 47180 Arandas, Jal.",348 118 0186,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dinámica Computacional y Electrónica,"Jardines Eternos 210, Panorama, 20040 Aguascalientes, Ags.",449 912 9701,NULL,NULL,NULL,NULL,60 reseñas,"4,4",Tienda de informática
"Buffet de Ingeniería en Telecomunicaciones, SA de CV","20259, Av Héroe de Nacozari 104, Barrio de la Purísima, Aguascalientes, Ags.",449 912 9633,NULL,NULL,networksolutionsags.com.mx,NULL,1 reseña,"4,0",Oficinas de empresa
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Chicanná Ecovillage Resort,,,18.514153,-89.48364,,NULL,184 reseñas,"3,7",NULL
Grecia S.A. de C.V.,"Poniente Sn, Parque Santa Lucia, Centro, 97246 Mérida, Yuc.",999 985 3693,NULL,NULL,NULL,NULL,NULL,NULL,NULL
TRACTORES DEL NORTE SA DE CV,"Km 5.2 corredor comercial, 31560 Cd Cuauhtémoc, Chih.",625 581 3922,NULL,NULL,NULL,NULL,1 reseña,"5,0",Fábrica de maquinaria agrícola
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Elecma Industrial, S.A. De C.V.","Av. Alfonso Reyes 3010, Talleres, 64280 Monterrey, N.L.",81 8311 1027,NULL,NULL,NULL,NULL,4 reseñas,"5,0",Servicio de reparación de electrodomésticos
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Transportes SyS Amador del Golfo,"Revolución 38, Santa Cruz, 73160 Huauchinango, Pue.",776 762 1329,20.1740836,-98.061837,NULL,NULL,8 reseñas,"4,1",Servicio de transporte
Semacop,"Cda. de Saturno 342, Buenavista, 91850 Veracruz, Ver.",NULL,19.1985437,-96.1651861,NULL,NULL,,,Cerrado permanentemente
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sercom de Colima SA de CV,"Av Tecnológico 35-A, Lomas Vista Hermosa, 28010 Colima, Col.",312 313 5727,NULL,NULL,sercomdecolima.com.mx,NULL,10 reseñas,"3,0",Comercio
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Polyvisa,"C. 4 370, Agrícola Pantitlán, Iztacalco, 08400 Ciudad de México, CDMX",55 5558 1467,19.4183731,-99.06221,polyvisa.com.mx,NULL,41 reseñas,"3,8",Servicios de empresa a empresa
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Producciones Asfálticas Soledad,"Luis Donaldo Colosio 351 Rancho Nuevo, 78430 Soledad de Graciano Sánchez, S.L.P.",444 100 8202,NULL,NULL,produccionessoledad.mx,NULL,31 reseñas,"4,7",Tienda de materiales para la construcción
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bien Informado,"ufCd. de Hermosillo 1382, Las Quintas, 80060 Culiacán Rosales, Sin.",667 715 1316,NULL,NULL,bien-informado.com.mx,NULL,4 reseñas,"4,3",Editorial
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Comercializadora Y Envasadora T Y M,"Av. Revolución 122, Sanctorum, 72700 Puebla, Pue.",222 485 0185,19.1096345,-98.2600171,NULL,NULL,,,Cerrado permanentemente
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RADIADORES DINO'S,"Herreros de San Felipe #792, Vasco de Quiroga, 58230 Morelia, Mich.",443 324 5550,NULL,NULL,radiadoresdinos.com,NULL,102 reseñas,"4,2",Tienda de radiadores
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Medios Impresos,"Circuito Balvanera 16, Fraccionamiento Industrial Balvanera, 76908 Corregidora, Qro.",442 225 0224,NULL,NULL,misi.com.mx,NULL,35 reseñas,"4,4",Imprenta
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SSIGA,"C. 55 s/n, Miami, 24115 Cd del Carmen, Camp.",938 382 4160,18.6535266,-91.8332477,ssiga.com.mx,NULL,32 reseñas,"3,9",Servicio de seguridad
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Edutelsa,"Torre Eiffel 352, Parque Industrial las Torres, 25114 Saltillo, Coah.",844 434 0022,NULL,NULL,edutelsa.com.mx,NULL,1 reseña,"5,0",Proveedor de equipos de laboratorio
Proveedora Industrial Irgo s.a. de c.v.,"Roble 1426, El Pueblo, 25700 Monclova, Coah.",866 633 8661,NULL,NULL,NULL,NULL,1 reseña,"5,0",Tienda de ropa
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NISSAN APATZINGAN,"22 de Octubre No. 665, Las Palmas, 60699 Apatzingán de la Constitución, Mich.",453 534 4450,NULL,NULL,nissanapatzingan.com.mx,NULL,151 reseñas,"4,4",Concesionario Nissan
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fenix Consultores En Ingenieria Sa De Cv,"C. José Díaz 22, Tamborrel, 91050 Xalapa-Enríquez, Ver.",228 818 0873,19.5349297,-96.9344914,NULL,NULL,2 reseñas,"5,0",Empresa constructora
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Central Papelera Tulancingo,"Manuel Fernando Soto 203, Centro 1er Cuadro, 43600 Tulancingo de Bravo, Hgo.",775 753 1307,20.082513,-98.3676304,edicionesbob.com.mx,NULL,49 reseñas,"3,9",Cerrado permanentemente
Centro de Diagnostico Prisma S.A. de C.V.,"Insurgentes 23, Centro, 42300 Ixmiquilpan, Hgo.",759 723 0048,20.4788048,-99.2191835,NULL,NULL,5 reseñas,"3,6",Hospital
Distribuidora Avícola Texcapa,"Antigua México - Tuxpan 1, Centro, 73160 Huauchinango, Pue.",776 762 5956,20.1748008,-98.0562449,NULL,NULL,,,Mayorista
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Materiales Para Construccion San Lorenzo S.A. De C.V.,"José María Morelos, Centro, 70150 Centro, Oax.",NULL,16.4787146,-94.8314066,NULL,NULL,,,Tienda de materiales para la construcción
"Surtidora Del Bajío, S.A. De C.V.","Av Colinas del Cimatario 426, Colinas del Cimatario, 76090 Santiago de Querétaro, Qro.",442 213 0825,NULL,NULL,surtidoradelbajio.com,NULL,8 reseñas,"5,0",Vendedor mayorista de productos del campo
Grupo Corporativo Tecepo,"Av. Jesús Goytortúa 390, Tangamanga, 78269 San Luis, S.L.P.",444 811 0085,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ALSmith y Asociados,"Blvd. Centro Sur 98-PH, Centro Sur, 76090 Santiago de Querétaro, Qro.",442 228 1414,NULL,NULL,NULL,NULL,,,Cabina de teléfono público
El Trigal Avíos para Panificación,"De La Esperanza 108, Plazas del Sol 3ra Secc, 76099 Santiago de Querétaro, Qro.",442 223 4551,NULL,NULL,NULL,NULL,112 reseñas,"4,4",Suministro y fabricación de alimentos
CEAT Center of Engineering and Advanced Technology Diseño Mecánico y Manufactura,NULL,442 161 5011,NULL,NULL,ceat.com.mx,NULL,3 reseñas,"5,0",Asesor en ingeniería
Sportway Cancún,"Mayapan Manzana 5 Lote 5C - 5D 21, 77500 Cancún, Q.R.",998 898 1662,21.1506554,-86.8335738,NULL,NULL,160 reseñas,"4,2",Club deportivo
PROMOTORA INDUSTRIAL GIM SA DE CV,"EJE 140, Num externo: 205, Num interno: 3, Col: ZONA INDUSTRIAL, Industrial San Luis, 78395 San Luis",NULL,NULL,NULL,prominox.com.mx,NULL,41 reseñas,"4,0",Almacén
Iglesia de Dios Pentecostal M. I. en El Rosario Sinaloa,"José Ramón Lizárraga 226, 82807 El Rosario, Sin.",NULL,NULL,NULL,facebook.com,NULL,4 reseñas,"4,3",Iglesia
Edifica Espacios S.A. de C.V.,"Lola Beltrán 300, Palos Prietos, 82010 Mazatlán, Sin.",669 118 4211,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Materiales y Ferretera Santa Fé,"Av. Ángel García Aburto 574, Choyal, 83130 Hermosillo, Son.",662 216 7831,NULL,NULL,construramasantafehmo.com,NULL,41 reseñas,"4,2",Tienda de materiales para la construcción
Id Gráficos Creativos S.A. de C.V.,"Av. Zacatecas 144, San Benito, 83190 Hermosillo, Son.",662 214 1827,NULL,NULL,idgraficos.com.mx,NULL,1 reseña,"5,0",Imprenta
Tu casa limpia,"Gandara #81 Int. 1 E/ Campeche y, Av Quintana Roo, San Benito, 83190 Hermosillo, Son.",662 210 4042,NULL,NULL,tucasalimpia.com,NULL,6 reseñas,"3,0",Servicio de limpieza doméstica
"Correos de México / Nacozari de García, Son.","Ferrocarril Sur 2, Centro, 84340 Nacozari de García, Son.",634 342 0341,NULL,NULL,correosdemexico.com.mx,NULL,5 reseñas,"3,2",Oficina de correos
RT DIESEL SERVICIOS S.A. DE C.V.,"Cda. Sector Los Mangos s/n, Ranch. Buena Vista /rio Nvo. 2DA. Seccion, 86280 Villahermosa,tab., Tab.",993 353 8544,17.954566,-93.02095,NULL,NULL,7 reseñas,"3,6",NULL
"Tubular Technology, S.A. de C.V.","Los Cocos, 86244 Lomitas, Tab.",993 337 9511,18.0278595,-92.9230869,NULL,NULL,9 reseñas,"4,1",Empresa de trabajo temporal
World Register S.A de C.V,"con esquina, Calle Paseo de la Ceiba, EDIFICIO VX, la pigua número 102-interior 202, Primero de Mayo, 86190 Villahermosa, Tab.",993 352 4257,17.9794658,-92.9362732,wrregister.com,NULL,1 reseña,"5,0",Oficinas de empresa
Electrificaciones del Sur,"Francisco I. Madero 607, Centro, 86500 Heroica Cárdenas, Tab.",937 372 3007,17.9870806,-93.3743843,NULL,NULL,,,Empresa constructora
Accesorios De Calidad De Tampico S.a. De C.v.,"Altamira 413, Zona Centro, 89000 Tampico, Tamps.",NULL,22.2159359,-97.8546779,NULL,NULL,,,Comercio
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tortillería ""Tlaxcallan""","Celestino Paredes LOTE CERCADO, Cuahuatzala, 90100 Tlaxcala de Xicohténcatl, Tlax.",NULL,19.3334568,-98.2208179,NULL,NULL,,,Tienda de ultramarinos
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Agropecuaria El Zapote,"5 de Mayo 97, Teocelo, 91615 Teocelo, Ver.",228 821 0235,19.3832686,-96.9763489,NULL,NULL,12 reseñas,"4,2",Cuidados veterinarios
MULTIMEDIOS RADIO XALAPA,"91020, Av. Orizaba 63, Veracruz, Xalapa-Enríquez, Ver.",NULL,19.5410802,-96.9303975,NULL,NULL,7 reseñas,"5,0",Emisora de radio
Licores Veracruz S.A. de C.V.,"Km. 341.5 Carretera Cordoba-Veracruz s/n, Zona Industrial, 94690 Córdoba, Ver.",271 714 0400,18.8759918,-96.917427,licoresveracruz.com,NULL,24 reseñas,"4,4",Fábrica
Transportes Fonza,NULL,NULL,18.838846,-96.8197132,NULL,NULL,,,Edificio multiusos
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
INDUSTRIAL CAMACHO,"C. 41 S/N, entre Av. 5 y 5 bis, La Moderna, 94640 Córdoba, Ver.",271 275 7109,18.8789417,-96.9229045,NULL,NULL,,,Empresa de suministros industriales
Tecniproductos Orizaba,"Sur 37 No.163, Centro, 94300 Orizaba, Ver.",272 171 5364,18.852277,-97.087765,NULL,NULL,5 reseñas,"5,0",Proveedor de equipos de laboratorio
"PRAPSA PERFORACIONES REHABILITACIONES Y AFOROS DE POZOS, S.A.DE C.V","José Cardel Norte #47 BIS, Centro, 91680 Ciudad Cardel, Ver.",296 962 3376,19.3731171,-96.3771847,facebook.com,NULL,2 reseñas,"5,0",Contratista de perforación de pozos
Materiales y Servicios Garca S.A. de C.V.,"Calle Raúl López Sánchez Kilómetro 1.5, Segundo de Cobián Centro, 27054 Torreón, Coah.",871 733 4353,NULL,NULL,NULL,NULL,1 reseña,"4,0",Establecimiento de venta de madera
Gori Industrias,"Calle 59 #390 Altos depto 1x42 and 44, Centro, 97000 Mérida, Yuc.",999 928 2808,20.9666949,-89.6113544,industriasgori.com.mx,NULL,6 reseñas,"4,3",Fábrica
Copiers SA de CV.,"Calle 59 390, Centro, 97000 Mérida, Yuc.",999 928 2808,20.9667013,-89.611399,copiers.com.mx,NULL,21 reseñas,"4,0",Copistería
Servicios Biomédicos Del Sureste Sa De Cv,"Calle 21 212, San Miguel, 97140 Mérida, Yuc.",999 947 6516,20.9947165,-89.597927,NULL,NULL,1 reseña,"5,0",Cerrado permanentemente
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Irrigación y Obras Hidráulicas,"Morelos, Centro, 98519 Víctor Rosales, Zac.",NULL,NULL,NULL,NULL,NULL,10 reseñas,"3,9",Centro comercial
Comercializadora Pimer Sa De Cv,"Lerdo de Tejada 316, Parque Industrial II, 34079 Gómez Palacio, Dgo.",NULL,NULL,NULL,NULL,NULL,1 reseña,"5,0",Cerrado permanentemente
IQ LAGUNA,"Carr. la Unión - la Partida #28, SANTA BARBARA, 27105 Torreón, Coah.",871 750 5084,NULL,NULL,NULL,NULL,4 reseñas,"4,8",Servicio de impermeabilización
Poliformas S.A. de C.V.,"Mexico 6 esq. Melchor O, 92912 Plan de Ayala, Ver.",782 133 1745,20.5513632,-97.4734104,NULL,NULL,1 reseña,"5,0",Fábrica
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Geoasfaltos S.A. de C.V.,"Tres de Mayo, 91306 Banderilla, Ver.",228 811 1809,19.5920913,-96.9588963,NULL,NULL,21 reseñas,"3,9",Cerrado permanentemente
Comercial Ozuluama,"Morelos 108, 92080 Ozuluama de Mascareñas, Ver.",NULL,21.6607984,-97.8504193,NULL,NULL,,,Tienda de muebles
Construcción Electromecánica y Civil Mave S.A. de C.V.,"Felipe Chávez 102, Francisco Murguía, 50010 Toluca de Lerdo, Méx.",722 214 8336,19.2840449,-99.6633772,NULL,NULL,,,Taller de reparación de automóviles
El Mejor Pan de Toluca S.A de C.V,"Av Benito Juárez Garcia Sur 204, Centro, 50000 Toluca de Lerdo, Méx.",2154742,19.287612,-99.6543898,NULL,NULL,39 reseñas,"4,2",Panadería
Decoración Y Manualidades Las Rosas,"Av. Primero de Mayo 103, Centro, 50000 Toluca de Lerdo, Méx.",722 215 1570,19.2908407,-99.6542866,manualidadeslasrosas.com.mx,NULL,176 reseñas,"4,0",Tienda de artesanías
MM-MEX,"Av. Heriberto Enríquez #703, 1er piso., Heriberto Enríquez 703, Emiliano Zapata, 50190 Toluca de Lerdo, Méx.",2078360,19.2676303,-99.6467336,NULL,NULL,9 reseñas,"3,8",Constructor
"Delphi Asesores, S.A. de C.V","Bosque de los Ciruelos 130-1002, Bosque de las Lomas, Miguel Hidalgo, 11700 Ciudad de México, CDMX",55 5589 6922,19.4033953,-99.2408311,NULL,NULL,NULL,NULL,NULL
Abarrotes Oscarin,"C. 2 de Noviembre, Ixtlahuaca, 50740 Ixtlahuaca de Rayón, Méx.",712 283 0405,19.5685177,-99.7634577,NULL,NULL,1 reseña,"3,0",Tienda de alimentación
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IMPORTACIONES CALAFIA,"P.º Ensenada 410-Int. 106, Playas, Jardines Playas de Tijuana, 22500 Tijuana, B.C.",664 630 0616,NULL,NULL,importacionescalafia.com,NULL,10 reseñas,"4,1",Juguetería
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Construcciones y Consultoría Doeg,"Heriberto Jara 415, Vista el Mar, 96529 Coatzacoalcos, Ver.",921 213 5069,18.141151,-94.4583654,NULL,NULL,,,Empresa constructora
Codeal S.A. de C.V.,"C. Centenario 809, San Miguel, 37390 León, Gto.",477 761 9261,NULL,NULL,codeal.com.mx,NULL,1 reseña,"3,0",Fábrica
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
N'angus Alimentos,"C. Veracruz 520, Sta María la Ribera, 29070 Tuxtla Gutiérrez, Chis.",961 613 2335,16.740328,-93.090934,nangus.com.mx,NULL,8 reseñas,"4,6",Carnicería
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
COMERCIAL YENY S.A.DE.C.V,"Av. Dr. Belisario Domínguez, Mundo Maya, 29960 Palenque, Chis.",NULL,17.5107426,-91.9842849,NULL,NULL,,,Cerrado permanentemente
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empacadora Friveti S.A. de C.V.,"C. Labastida 50-B, Colonia, 59620 Zamora de Hidalgo, Mich.",686 202 2073,NULL,NULL,NULL,NULL,,,Establecimiento de venta de madera
"Lg Frutas, S.p.r. De R.l. De C.v.","Brasilia 1261, Nueva Luneta, 59689 Zamora de Hidalgo, Mich.",NULL,NULL,NULL,lgfrutas.com.mx,NULL,2 reseñas,"5,0",NULL
UPIICSA – Unidad Profesional Interdisciplinaria de Ingeniería y Ciencias Sociales y Administrativas IPN,"Av. Té 950, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX",55 5624 2000,19.395884,-99.0918475,upiicsa.ipn.mx,NULL,2.275 reseñas,"4,7",Facultad Politécnica
Cellmart,"Av. Lázaro Cárdenas 1683, Centro, 60950 Lázaro Cárdenas, Mich.",NULL,NULL,NULL,NULL,NULL,1 reseña,"4,0",Centro comercial
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
